Easting,Northing,UTM Zone,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
1113597,4521648,T10,-115.7488125,40.61750572,107,,CERTIFIED,2285.7706,2020/08/03 23:00:00+00,2020/09/02 15:00:00+00,5985.9,5,NVEIC,3900000,,,2020/10/02 13:21:03+00,Minimal,Smoldering,Smoldering,Smoldering,Natural,Lightning,,M971,,2020/07/19 23:00:00+00,Type 4 Incident,2020/10/01 21:00:00+00,0,100,0,0,PN,1502,GBCC,2020/08/03 23:00:00+00,2020/08/03 01:30:00+00,2020/08/03 23:00:00+00,F,Type 4 IC,Cedar,"15 Miles South of Elko, Nevada",WF,FI,40.602563,-115.719777,5,,{91E0CBAB-A24E-4590-B6C6-2B4A46907E8A},,0,1,0,0,0,0,10145,100,100,,Elko,NVEIC,32007,,,,Private,Private,,,,,,,GB19,C&L,NVECFX,US-NV,Brush,SH5,Timber (Grass and Understory),Brush (2 feet),2,2020-NVECFX-010145,Approved Decision,wildcad,INFORM_Inspector,0,Type 3 Incident,2020/07/27 17:45:30+00,2020/07/20 00:32:18+00,2020/10/02 13:21:05+00,IRWIN,{59A50BF8-A08E-42EB-BE95-3E29A5211136},,,
926566,4544504,T10,-117.9334629,40.94028857,131,,DEFAULT,3355.3934,2017/07/10 23:25:00+00,2017/07/11 03:00:00+00,3295.82,250,NVCNC,500000,,,,Minimal,Smoldering,Running,,Natural,,,K4XW,,2017/07/09 03:11:00+00,Type 4 Incident,2017/07/21 00:59:59+00,,,,,PD,1502,GBCC,2017/07/11 02:15:00+00,2017/07/10 01:30:00+00,2017/07/11 02:15:00+00,F,Type 4 IC,Barrett Springs,8 miles west of Winnemucca,WF,FI,40.98634,-118.0842,250,,{8DF05223-4981-4EFE-BBB6-4660D359C071},,0,1,0,0,0,0,20138,100,100,Winnemucca,Humboldt,,32013,,NVWID,,BLM,Federal,,,,,,,GB11,BLM,NVWID,US-NV,,,Short Grass (1 foot),Brush (2 feet),4,2017-NVWID-020138,Pending Decision,wildcad,wildcad,0,,,2017/07/09 03:34:40+00,2018/02/02 18:29:38+00,IRWIN,{A52D6BF1-35C0-4E04-B201-7463E36B644B},,,
554203,4655291,T10,-122.3450138,42.04780528,816,,DEFAULT,34268.1839,2014/08/14 12:59:59+00,2014/08/14 12:59:59+00,32500,,,,,,,,,,,Natural,,,,,2014/07/31 20:29:59+00,,2014/11/17 21:59:59+00,,,,,,,NWCC,,,,,,Oregon Gulch,,WF,FI,,,,,{C595EA9F-114F-4E67-99D0-35F272356E83},,0,,,,,,140774,,,,Jackson,,41029,,,,,,,,,,,,,,ORMED,US-OR,,,,,,2014-ORMED-140774,,wfdss,wfdss,0,,,2014/08/02 00:34:58+00,2014/11/18 16:24:32+00,IRWIN,{E26A7456-CC00-4DCB-A126-AD3F03A910B7},,,
690305,4461075,T10,-120.7615133,40.27852528,865,,CERTIFIED,29569.7737,2020/09/08 00:59:59+00,2020/10/09 18:59:59+00,29570,0.1,CAPNFC,21600000,,,2021/02/02 01:06:57+00,Minimal,Creeping,Smoldering,Isolated Torching,Natural,Lightning,,NGS4,,2020/08/17 19:20:00+00,Type 2 Incident,2020/12/03 15:59:59+00,0,100,0,0,,,ONCC,2020/09/09 12:30:00+00,2020/09/09 00:59:59+00,2020/09/09 12:30:00+00,F,Type 2 Team,Sheep,"Flemming Sheep Camp, Plumas N.F.",WF,FI,40.27852,-120.7615,,,{FB31F965-B88D-4C84-8B88-3241F38187CC},,0,0,1,0,0,0,1299,100,100,,Plumas,CAPNFC,6063,,,,Private,Private,Mount Diablo,,,11E,20,28N,NC07,FS,CAPNF,US-CA,Grass-Shrub,GS1,Timber (Grass and Understory),Short Grass (1 foot),180,2020-CAPNF-001299,Approved Decision,wildcad,INFORM_Inspector,0,Type 4 Incident,2020/10/13 19:17:01+00,2020/08/17 19:36:48+00,2021/02/02 01:06:58+00,IRWIN,{07FD4EC6-3472-4E4D-B9F3-61A4C5D20A39},,,
547961,4773357,T10,-122.410514,43.11142534,874,,DEFAULT,282.9762,,,1246,25,ORRICC,60000,,,,Moderate,Isolated Torching,Backing,Creeping,Natural,,,K9XL,,2017/08/11 19:44:59+00,Type 3 Incident,2017/12/31 20:00:00+00,100,,0,,P6,615,NWCC,2017/08/31 23:00:00+00,2017/08/31 00:59:59+00,2017/08/31 23:00:00+00,F,Type 3 IC,DL RATTLESNAKE MT,22 Miles NE of Prospect Ranger Station,WF,FI,43.11084,-122.4098,,,{D6910CA5-168B-4B85-B6D9-B6B93A1DBB9D},,0,1,0,0,0,0,418,0,0,Roseburg,Douglas,ORUPC,41019,,ORUPF,,USFS,Federal,Willamette,,,3E,25,28S,NW04,FS,ORUPF,US-OR,,,Timber (Litter and Understory),Tall Grass (2.5 feet),10,2017-ORUPF-000418,Approved Decision,wildcad,wildcad,0,,,2017/08/17 22:40:19+00,2018/05/02 23:02:28+00,IRWIN,{80874E13-96DC-44B3-8D06-598A192B9D9C},,,
978628,4547841,T10,-117.3152798,40.94142262,1102,,DEFAULT,1317.8298,2017/07/10 03:00:00+00,2017/07/11 00:00:00+00,3618.2,60,NVCNC,150000,,,,Minimal,Uphill Runs,Creeping,,Natural,,,K4W0,,2017/07/09 00:08:00+00,Type 4 Incident,2017/07/21 00:59:59+00,,,,,PD,1502,GBCC,2017/07/11 02:00:00+00,2017/07/10 04:15:00+00,2017/07/11 02:00:00+00,F,Type 4 IC,Iron Point,"Golconda, East of Winnemucca",WF,FI,40.9158,-117.3875,35,,{BEC38378-362D-4A94-A1E2-D7A7478C5218},,0,1,0,0,0,0,20134,100,100,Golconda,Humboldt,,32013,,NVWID,,BLM,Federal,,,,,,,GB11,BLM,NVWID,US-NV,,,Short Grass (1 foot),Brush (2 feet),49,2017-NVWID-020134,Pending Decision,wildcad,wildcad,0,,,2017/07/09 00:39:06+00,2018/02/02 18:24:16+00,IRWIN,{264439BD-D553-4E15-8F09-08165CD9A15C},,,
830769,4990031,T10,-118.8042127,44.98660482,1128,,DEFAULT,41.9664,2015/08/27 02:48:59+00,2015/09/04 21:40:00+00,60,15,ORBMC,,,,,,,,,Human,,,J112,,2015/08/16 22:54:00+00,,2015/11/03 03:00:00+00,,,,,P6,614,NWCC,,,,,,Turner Basin,,WF,FI,45.003601,-118.827003,70,,{05D1DD6C-091A-43F5-932D-2D3C974B83D1},,0,0,0,0,0,,969,,,,Grant,ORBMC,41023,,ORUMF,,USFS,Federal,,,,,,,NW11,,ORUMF,US-OR,,,,,,2015-ORUMF-000969,,wildcad,wildcad,0,,,2015/08/16 23:59:52+00,2019/09/02 16:05:06+00,IRWIN,{46C1C80C-4176-4765-9149-76D816931A68},,,
988808,4947721,T10,-116.8497133,44.51694597,1781,,DEFAULT,8032.5992,2018/08/02 03:00:00+00,2018/08/02 06:00:00+00,17600,0.5,IDPAC,2100000,,,,Minimal,Smoldering,Creeping,Backing,Natural,,,L1NG,,2018/07/25 17:39:59+00,Type 3 Incident,2018/10/09 15:59:59+00,0,100,0,0,P4,412,GBCC,2018/08/02 14:00:00+00,2018/08/01 14:00:00+00,2018/08/02 14:00:00+00,F,Type 3 Team,Keithly,"17 miles NNE of Weiser, Idaho",WF,FI,44.48248,-116.8293,,,{6517D813-8575-427D-A51F-A86BB550B8C0},,0,1,1,1,0,,267,100,100,,Washington,IDPAC,16087,BLM,IDBOD,,,,,,,,,,GB01,FS,IDPAF,US-ID,,,Brush (2 feet),Tall Grass (2.5 feet),25,2018-IDPAF-000267,Approved Decision,wildcad,wildcad,0,,,2018/07/25 18:21:03+00,2018/11/07 23:45:53+00,IRWIN,{8ACBF18E-F713-43E0-B832-D65EFF028D57},,,
1108518,4553739,T10,-115.7772345,40.90806174,1848,,DEFAULT,15860.6604,2017/07/21 00:59:59+00,2017/08/10 03:00:00+00,7466.75,100,NVEIC,1200000,,,,Minimal,Smoldering,Wind Driven Runs,,Human,,,K5X5,,2017/07/17 20:31:00+00,Type 3 Incident,2017/08/10 03:00:00+00,,,,,PN,1502,GBCC,2017/07/21 00:59:59+00,2017/07/19 23:00:00+00,2017/07/21 00:59:59+00,F,Type 3 IC,Oil Well,"East of Elko, NV along I-80 near Osino",WF,FI,40.866667,-115.75,400,,{811F4396-D64A-47E8-8188-785A6D166203},,0,1,0,0,0,0,10234,100,100,"Osino, NV",Elko,NVEIC,32007,,NVEKD,,,,,,,,,,GB11,DVF,NVNNS,US-NV,,,Brush (2 feet),Tall Grass (2.5 feet),75,2017-NVNNS-010234,Approved Decision,wildcad,wildcad,0,,,2017/07/17 21:52:42+00,2018/04/30 16:51:53+00,IRWIN,{6642D72F-EE9F-4F4F-9F26-BBA471861EB7},,,
551189,4803697,T10,-122.368014,43.38440536,2430,,DEFAULT,284.3925,,,36,,,,,,,,,,,Natural,,,,,2014/07/31 03:00:00+00,,2014/10/06 00:59:59+00,,,,,,,NWCC,,,,,,WIF 195,,WF,FI,,,,,{D205F02F-5D7D-4539-A522-CB4FAA1F1703},,0,,,,,,140210,100,,,Douglas,,41019,,ORWIF,,USFS,Federal,,,,,,,,,ORWIF,US-OR,,,,,,2014-ORWIF-140210,,wfdss,wfdss,0,,,2014/08/01 23:21:38+00,2014/12/04 22:26:10+00,IRWIN,{CC117F7D-3CA6-459D-ACA3-3593F44B4AA4},,,
